Geneid;Length;CBB;DZX;GCY;YXH;XCY;XZY;Control_ZCY;Control_ZJC;Control_QZY
ENSG00000284662;995;0;0;0;0;0;0;0;0;0
ENSG00000186827;1722;11;39;42;18;17;20;20;31;62
ENSG00000186891;1271;11;17;6;20;3;12;52;138;16
ENSG00000160072;7686;1662;1201;992;983;943;927;431;414;226
ENSG00000041988;4072;252;235;237;209;210;234;314;405;480
ENSG00000260179;1558;8;5;4;4;4;9;4;9;3
ENSG00000234396;326;5;1;1;3;1;2;2;2;1
ENSG00000225972;372;5;2;0;0;4;4;7;2;2
ENSG00000224315;703;14;20;25;21;34;18;6;4;0
ENSG00000198744;547;7;11;3;8;6;3;2;6;9
ENSG00000279928;570;2;11;5;12;1;3;10;29;11
ENSG00000228037;626;7;9;8;2;8;17;5;5;5
ENSG00000142611;9767;58;51;46;55;70;61;85;114;19
ENSG00000225630;1044;108;57;94;55;76;66;77;92;56
ENSG00000067606;7695;364;402;404;469;404;329;700;744;658
ENSG00000131584;8707;1409;1327;1047;843;814;976;712;988;459
ENSG00000227589;754;0;0;0;0;1;0;1;4;0
ENSG00000237402;365;1;3;1;5;1;4;2;3;0
ENSG00000284616;1225;0;0;0;0;0;0;1;0;0
ENSG00000169972;2459;72;92;72;73;43;59;91;156;148
ENSG00000157911;3782;407;378;441;329;395;400;515;643;577
ENSG00000269896;2407;63;39;46;36;34;51;38;63;27
ENSG00000237973;1543;1145;773;13287;696;919;614;1324;1496;1458
ENSG00000224051;2555;552;398;456;411;451;497;574;755;698
ENSG00000228750;2188;0;1;0;2;0;0;0;4;0
ENSG00000228463;8224;0;17;52;5;16;44;38;3;10
ENSG00000238260;622;35;78;52;47;65;75;20;13;7
ENSG00000260972;1697;0;0;0;0;0;0;0;0;0
ENSG00000157933;6550;3220;2190;2897;2450;2407;2844;2870;4137;1863
ENSG00000162591;9021;214;351;608;195;159;266;185;189;291
ENSG00000224340;337;2;2;3;2;0;0;0;0;0
ENSG00000270035;570;8;20;15;37;34;30;7;2;4
ENSG00000169962;3475;160;126;128;90;98;134;66;111;39
ENSG00000226545;415;10;8;19;17;23;17;12;9;0
ENSG00000233653;2477;0;0;0;0;0;0;0;0;0
ENSG00000268663;424;0;0;1;0;0;0;0;0;0
ENSG00000226374;2168;6;1;1;2;2;1;0;1;1
ENSG00000116285;4179;494;359;312;368;299;407;510;560;416
ENSG00000229280;372;0;0;0;0;1;1;0;0;0
ENSG00000142655;2932;484;358;417;376;344;413;517;636;549
ENSG00000232596;3328;0;0;0;0;1;0;0;2;0
ENSG00000235054;2574;1;0;0;0;0;0;3;1;0
ENSG00000232663;163;0;0;1;0;0;0;0;0;0
ENSG00000284646;742;0;0;0;0;1;2;4;0;1
ENSG00000240409;207;1;1;0;0;2;0;0;0;0
ENSG00000229344;682;0;1;2;0;0;1;2;0;1
ENSG00000231510;449;0;0;1;0;0;0;2;0;0
ENSG00000149527;10809;91;51;30;28;19;20;30;100;17
ENSG00000284739;464;0;0;0;0;0;0;0;3;0
ENSG00000007923;5083;799;701;809;627;737;715;765;890;729
ENSG00000171621;3389;444;489;605;496;570;635;938;1098;747
ENSG00000272235;3461;3;3;2;2;0;1;2;2;0
ENSG00000236679;385;0;0;0;0;0;0;0;0;0
ENSG00000284694;3402;0;0;0;0;0;0;0;0;0
